X,Y,support,confidence,lift
"Structural Notification:Y, Proposed Construction Type:5",Existing Construction Type:5,0.006224233,0.983320095,23.7934753
Structural Notification:Y,"Existing Construction Type:5, Proposed Construction Type:5",0.006224233,0.887455197,23.70599499
"Structural Notification:Y, Existing Construction Type:5",Proposed Construction Type:5,0.006224233,0.988817891,24.2331048
Supervisor District:5,Permit Type:8,0.006033183,0.655021834,11.8042804
Existing Use:1 family dwelling,Permit Type:8,0.006028155,0.6001001,10.81452477
"Proposed Construction Type:5, Fire Only Permit:Y",Existing Construction Type:5,0.005977878,0.86598689,20.95435431
"Existing Construction Type:5, Fire Only Permit:Y",Proposed Construction Type:5,0.005977878,0.994147157,24.3637099
"Proposed Construction Type:5, Fire Only Permit:Y",Permit Type:8,0.005897436,0.854333576,15.39611745
Existing Use:office,Permit Type:8,0.005701357,0.601272534,10.83565345
Supervisor District:8,Proposed Construction Type:5,0.005681247,0.681955341,16.71277936
Supervisor District:10,Permit Type:8,0.005585721,0.630533485,11.36297093
Supervisor District:8,Existing Construction Type:5,0.005565611,0.668074834,16.1654604
Zipcode:94103,Supervisor District:6,0.005349422,0.649969456,43.26603911
Existing Use:2 family dwelling,Existing Construction Type:5,0.005319256,0.894336433,21.64033047
"Existing Construction Type:3, Current Status:complete",Proposed Construction Type:3,0.005304173,0.919790759,74.06736108
"Proposed Construction Type:3, Current Status:complete",Existing Construction Type:3,0.005304173,0.937777778,71.7952271
Proposed Construction Type:2,Permit Type:8,0.005304173,0.78264095,14.10413019
Neighborhoods - Analysis Boundaries:Mission,Permit Type:8,0.005284062,0.639683506,11.5278653
"Current Status:issued, Fire Only Permit:Y",Permit Type:8,0.005268979,0.865400495,15.59555663
Existing Use:2 family dwelling,Proposed Construction Type:5,0.005263952,0.885038039,21.68975677
Neighborhoods - Analysis Boundaries:South of Market,Supervisor District:6,0.005248869,1,66.56626506
"Existing Construction Type:5, Fire Only Permit:Y",Permit Type:8,0.005228758,0.869565217,15.67060992
"Permit Type:8, Proposed Construction Type:5, Fire Only Permit:Y",Existing Construction Type:5,0.00520362,0.882352941,21.35036496
"Proposed Construction Type:5, Fire Only Permit:Y","Existing Construction Type:5, Permit Type:8",0.00520362,0.753823744,29.79049128
"Existing Construction Type:5, Proposed Construction Type:5, Fire Only Permit:Y",Permit Type:8,0.00520362,0.870479394,15.68708449
"Existing Construction Type:5, Fire Only Permit:Y","Permit Type:8, Proposed Construction Type:5",0.00520362,0.865384615,32.46416447
"Existing Construction Type:5, Permit Type:8, Fire Only Permit:Y",Proposed Construction Type:5,0.00520362,0.995192308,24.38932356
"Proposed Construction Type:5, Existing Use:2 family dwelling",Existing Construction Type:5,0.005193565,0.986628462,23.87352812
Existing Use:2 family dwelling,"Existing Construction Type:5, Proposed Construction Type:5",0.005193565,0.873203719,23.32530483
"Existing Construction Type:5, Existing Use:2 family dwelling",Proposed Construction Type:5,0.005193565,0.97637051,23.92805502
Existing Construction Type:2,Permit Type:8,0.005158371,0.708563536,12.76916619
"Supervisor District:8, Proposed Construction Type:5",Existing Construction Type:5,0.005148316,0.90619469,21.92726568
Supervisor District:8,"Existing Construction Type:5, Proposed Construction Type:5",0.005148316,0.617984309,16.50780003
